customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Churn_Binary,tenure_group,avg_monthly_charge,num_services,has_premium_support,charge_per_service,is_new_month_to_month,is_long_term_customer,Partner_enc,Dependents_enc,PhoneService_enc,PaperlessBilling_enc,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender_enc
9301-TJZKI,Male,0,No,No,11,Yes,No,77.37,870.91,Yes,1,0-12,79.17,4,0,19.34,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
9148-JBMUE,Female,0,Yes,No,61,Yes,Yes,115.58,6962.81,No,0,61-72,114.14,5,0,23.12,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
5166-DRMIF,Female,0,No,No,45,Yes,Yes,106.34,4734.93,No,0,25-48,105.22,7,1,15.19,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
6079-RYLEV,Female,1,No,No,4,Yes,No,82.08,258.01,Yes,1,0-12,64.5,5,0,16.42,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
6667-SCITV,Male,0,Yes,No,38,Yes,Yes,29.38,1134.83,No,0,25-48,29.86,1,0,29.38,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
4916-UVKXH,Male,0,Yes,No,2,Yes,No,84.19,129.68,Yes,1,0-12,64.84,4,0,21.05,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
3155-RQDVF,Female,0,No,Yes,29,Yes,Yes,92.22,2707.61,No,0,25-48,93.37,5,0,18.44,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
8243-AUUUR,Male,0,No,Yes,51,Yes,Yes,29.61,1463.09,No,0,49-60,28.69,1,0,29.61,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
5243-SHUOL,Female,0,No,No,21,Yes,No,73.85,1517.61,No,0,13-24,72.27,3,0,24.62,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
5549-OADGC,Female,0,Yes,No,26,Yes,Yes,78.61,2084.38,No,0,25-48,80.17,6,0,13.1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
4956-RRMWO,Female,0,No,Yes,56,Yes,Yes,77.86,4362.49,No,0,49-60,77.9,4,0,19.46,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1712-TOQOO,Male,0,Yes,No,2,Yes,No,102.93,186.94,Yes,1,0-12,93.47,6,0,17.16,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
1815-OUHPA,Female,0,Yes,No,27,Yes,No,94.0,2545.52,Yes,1,25-48,94.28,6,0,15.67,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
4127-LZFHK,Female,0,No,No,5,No,Yes,54.35,305.34,Yes,1,0-12,61.07,3,0,18.12,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
9932-WAGVB,Female,1,No,Yes,1,Yes,Yes,21.14,18.8,No,0,0-12,18.8,1,0,21.14,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
8700-HXHLR,Male,0,Yes,No,69,Yes,Yes,89.38,6133.13,No,0,61-72,88.89,4,0,22.34,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
2136-ONUZR,Male,0,No,Yes,32,Yes,Yes,71.79,2331.39,No,0,25-48,72.86,5,0,14.36,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
4682-KKVIE,Male,0,Yes,Yes,41,Yes,No,76.3,3068.71,No,0,25-48,74.85,7,0,10.9,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1
4008-ACCUS,Male,0,Yes,No,46,No,No,18.62,920.59,No,0,25-48,20.01,0,0,18.62,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
7270-MSEXN,Female,0,Yes,No,3,Yes,Yes,20.28,57.35,No,0,0-12,19.12,2,0,10.14,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
9441-DMSML,Female,0,No,Yes,51,Yes,Yes,84.58,4316.93,No,0,49-60,84.65,4,0,21.14,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2495-JGHRQ,Female,0,Yes,Yes,8,Yes,Yes,92.49,780.37,Yes,1,0-12,97.55,5,0,18.5,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
6464-JYCID,Male,0,No,No,1,Yes,No,85.94,90.15,Yes,1,0-12,90.15,6,0,14.32,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
4050-ZJXMS,Male,0,Yes,No,37,Yes,Yes,77.97,2809.49,No,0,25-48,75.93,5,0,15.59,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
5116-GTZGU,Male,1,Yes,Yes,27,Yes,Yes,27.34,727.84,No,0,25-48,26.96,2,0,13.67,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
3349-SULTH,Male,0,Yes,Yes,58,Yes,No,100.43,5836.16,Yes,1,49-60,100.62,5,0,20.09,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1
1713-CLXDL,Male,1,Yes,No,52,Yes,No,68.2,3587.32,No,0,49-60,68.99,4,0,17.05,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
7335-FSHVP,Male,0,No,Yes,4,Yes,Yes,113.84,394.51,Yes,1,0-12,98.63,6,1,18.97,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1
5921-EMWAT,Male,1,No,No,8,Yes,Yes,103.13,779.02,Yes,1,0-12,97.38,6,0,17.19,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
5434-SRLIQ,Female,0,No,No,11,No,No,24.63,202.88,No,0,0-12,18.44,0,0,24.63,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
2261-PCQQC,Male,0,Yes,No,46,Yes,No,58.51,2684.02,No,0,25-48,58.35,4,0,14.63,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
7816-KUBEM,Female,0,No,No,12,No,Yes,87.34,1035.19,No,0,0-12,86.27,3,0,29.11,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2693-IRDRC,Female,0,No,No,65,Yes,No,115.06,7434.28,No,0,61-72,114.37,6,0,19.18,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2576-PUEHY,Male,0,Yes,Yes,41,Yes,No,79.56,3269.97,No,0,25-48,79.76,3,0,26.52,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
9906-PLJPP,Female,0,No,No,67,No,Yes,65.14,4260.08,No,0,61-72,63.58,2,0,32.57,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
3652-ADYKM,Female,0,No,Yes,29,Yes,Yes,78.16,2248.52,No,0,25-48,77.54,5,0,15.63,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
5203-UBCHM,Male,0,No,No,18,No,Yes,71.8,1327.97,Yes,1,13-24,73.78,3,0,23.93,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
7039-MLYEO,Male,0,No,Yes,36,Yes,Yes,103.33,3751.57,Yes,1,25-48,104.21,7,0,14.76,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
5879-MUGYI,Female,0,No,No,8,Yes,Yes,18.25,213.78,No,0,0-12,26.72,2,0,9.12,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
5904-NWLHA,Male,0,Yes,Yes,12,Yes,Yes,63.6,812.13,Yes,1,0-12,67.68,3,0,21.2,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
4272-VAXOD,Male,0,No,No,5,Yes,No,94.63,483.55,Yes,1,0-12,96.71,6,0,15.77,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
3719-OICRR,Male,0,No,No,42,Yes,Yes,86.31,3560.97,No,0,25-48,84.78,5,0,17.26,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1
2069-HGRSS,Female,0,Yes,Yes,4,Yes,No,60.45,217.17,No,0,0-12,54.29,4,0,15.11,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
9447-TICPX,Female,0,No,No,3,Yes,No,81.59,221.42,No,0,0-12,73.81,5,0,16.32,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
9775-FGADO,Female,0,No,Yes,5,Yes,Yes,90.17,513.99,Yes,1,0-12,102.8,4,0,22.54,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
5920-JIVLV,Female,0,Yes,No,8,No,Yes,71.74,622.92,Yes,1,0-12,77.86,3,0,23.91,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
9667-IFYQH,Male,0,No,No,33,Yes,Yes,110.09,3582.52,Yes,1,25-48,108.56,6,0,18.35,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
6596-NXGZY,Female,0,No,No,1,Yes,Yes,26.02,141.61,No,0,0-12,141.61,1,0,26.02,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
2626-ENBHL,Male,0,No,No,17,Yes,No,104.75,1772.58,No,0,13-24,104.27,4,0,26.19,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
9723-ZDXCT,Male,0,No,No,13,Yes,Yes,23.04,268.93,No,0,13-24,20.69,1,0,23.04,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
8609-XFXDN,Female,0,Yes,No,3,Yes,Yes,66.41,170.79,No,0,0-12,56.93,5,0,13.28,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
5225-IAUIR,Male,0,No,No,37,No,Yes,105.83,3843.73,No,0,25-48,103.88,4,0,26.46,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
4691-JXCTT,Female,0,No,No,24,Yes,Yes,54.71,1274.57,Yes,1,13-24,53.11,3,0,18.24,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
4419-GAYYG,Female,0,No,No,10,Yes,Yes,95.71,1047.63,Yes,1,0-12,104.76,4,0,23.93,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1287-DBVXD,Female,0,Yes,No,45,Yes,Yes,18.25,874.53,No,0,25-48,19.43,1,0,18.25,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
7719-EJPSW,Female,0,Yes,Yes,31,Yes,Yes,87.12,2710.88,No,0,25-48,87.45,4,0,21.78,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1403-FHIZU,Female,0,No,No,14,Yes,Yes,81.43,1200.86,No,0,13-24,85.78,4,0,20.36,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
3883-ZMNLD,Male,1,Yes,Yes,51,Yes,No,84.32,4282.84,Yes,1,49-60,83.98,4,0,21.08,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
9408-AEFHD,Male,0,Yes,No,3,Yes,Yes,74.97,249.89,No,0,0-12,83.3,5,1,14.99,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
1161-RZDHN,Male,0,No,No,4,Yes,Yes,94.4,410.2,Yes,1,0-12,102.55,6,0,15.73,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1
9346-STPKF,Male,0,No,No,5,Yes,Yes,91.97,541.85,No,0,0-12,108.37,6,0,15.33,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
8777-UASCT,Male,0,No,Yes,68,Yes,No,97.06,6639.99,No,0,61-72,97.65,7,0,13.87,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
8432-DLDOY,Female,1,No,Yes,53,Yes,Yes,22.79,1137.07,No,0,49-60,21.45,2,0,11.4,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1727-KZHDM,Male,0,No,No,14,Yes,Yes,60.16,909.92,No,0,13-24,64.99,3,0,20.05,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
5574-RIYNH,Male,0,No,No,41,Yes,No,24.33,987.37,Yes,1,25-48,24.08,2,0,12.16,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
9641-YMAPO,Male,0,No,No,4,Yes,Yes,71.1,252.92,Yes,1,0-12,63.23,2,0,35.55,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
2333-QVCSD,Male,0,No,No,12,Yes,No,85.9,899.0,No,0,0-12,74.92,6,0,14.32,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
7738-KAZEP,Female,0,No,Yes,9,No,Yes,81.49,648.82,No,0,0-12,72.09,4,0,20.37,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
2633-YTULM,Female,0,Yes,No,11,Yes,Yes,112.18,1250.96,Yes,1,0-12,113.72,6,1,18.7,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
6708-UWARC,Female,1,Yes,No,2,Yes,No,80.22,129.09,Yes,1,0-12,64.54,6,0,13.37,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3591-VGUMG,Female,1,No,Yes,7,No,Yes,83.45,531.98,No,0,0-12,76.0,3,0,27.82,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
4007-NTPYW,Male,0,No,No,7,Yes,Yes,91.03,650.35,No,0,0-12,92.91,5,0,18.21,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
7779-PHKDJ,Female,1,No,Yes,12,Yes,Yes,25.41,305.03,Yes,1,0-12,25.42,1,0,25.41,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
9337-LCQZW,Male,0,No,Yes,59,No,Yes,82.18,4831.55,Yes,1,49-60,81.89,4,0,20.54,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
3466-LNGGG,Male,0,No,Yes,67,Yes,Yes,106.46,7030.87,Yes,1,61-72,104.94,6,0,17.74,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
9950-TVVYC,Male,1,Yes,No,9,Yes,No,96.43,838.33,No,0,0-12,93.15,6,0,16.07,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
8933-BMPJD,Female,0,No,No,5,Yes,Yes,87.94,375.51,Yes,1,0-12,75.1,4,0,21.98,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2730-VIIYD,Male,0,No,Yes,6,Yes,No,92.72,574.25,No,0,0-12,95.71,5,0,18.54,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1
9236-XPEEH,Male,0,Yes,No,12,Yes,Yes,66.74,768.0,Yes,1,0-12,64.0,5,0,13.35,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
6196-DLDOA,Male,0,No,No,43,Yes,Yes,69.1,2930.26,No,0,25-48,68.15,4,0,17.27,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
7380-BFEVB,Male,0,No,No,5,Yes,Yes,23.31,219.28,No,0,0-12,43.86,1,0,23.31,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
4862-PNRUK,Female,0,No,Yes,64,Yes,Yes,101.31,6443.57,No,0,61-72,100.68,8,1,12.66,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
8453-IZNTW,Male,0,Yes,Yes,4,Yes,No,82.28,353.06,Yes,1,0-12,88.26,4,0,20.57,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
8133-WNBME,Male,0,Yes,Yes,30,Yes,Yes,94.89,2751.9,No,0,25-48,91.73,5,0,18.98,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1
9001-GFGQO,Male,0,No,No,1,Yes,No,82.35,89.68,Yes,1,0-12,89.68,5,0,16.47,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
9538-KHBAJ,Female,0,No,No,1,Yes,No,24.76,51.07,No,0,0-12,51.07,1,0,24.76,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
