customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Binary
6667-SCITV,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.38,1134.83,No,0
4916-UVKXH,Male,0,Yes,No,2,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,84.19,129.68,Yes,1
3155-RQDVF,Female,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,92.22,2707.61,No,0
8243-AUUUR,Male,0,No,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.61,1463.09,No,0
5243-SHUOL,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),73.85,1517.61,No,0
5549-OADGC,Female,0,Yes,No,26,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,78.61,2084.38,No,0
4956-RRMWO,Female,0,No,Yes,56,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),77.86,4362.49,No,0
1712-TOQOO,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),102.93,186.94,Yes,1
1815-OUHPA,Female,0,Yes,No,27,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),94.0,2545.52,Yes,1
4127-LZFHK,Female,0,No,No,5,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.35,305.34,Yes,1
9932-WAGVB,Female,1,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.14,18.8,No,0
8700-HXHLR,Male,0,Yes,No,69,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.38,6133.13,No,0
2136-ONUZR,Male,0,No,Yes,32,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.79,2331.39,No,0
4682-KKVIE,Male,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),76.3,3068.71,No,0
4008-ACCUS,Male,0,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.62,920.59,No,0
7270-MSEXN,Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.28,57.35,No,0
9441-DMSML,Female,0,No,Yes,51,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),84.58,4316.93,No,0
2495-JGHRQ,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),92.49,780.37,Yes,1
6464-JYCID,Male,0,No,No,1,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),85.94,90.15,Yes,1
4050-ZJXMS,Male,0,Yes,No,37,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),77.97,2809.49,No,0
5116-GTZGU,Male,1,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.34,727.84,No,0
3349-SULTH,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,100.43,5836.16,Yes,1
1713-CLXDL,Male,1,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,68.2,3587.32,No,0
7335-FSHVP,Male,0,No,Yes,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),113.84,394.51,Yes,1
5921-EMWAT,Male,1,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,103.13,779.02,Yes,1
5434-SRLIQ,Female,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.63,202.88,No,0
2261-PCQQC,Male,0,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Mailed check,58.51,2684.02,No,0
7816-KUBEM,Female,0,No,No,12,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,87.34,1035.19,No,0
2693-IRDRC,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,115.06,7434.28,No,0
2576-PUEHY,Male,0,Yes,Yes,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,79.56,3269.97,No,0
9906-PLJPP,Female,0,No,No,67,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),65.14,4260.08,No,0
3652-ADYKM,Female,0,No,Yes,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,78.16,2248.52,No,0
5203-UBCHM,Male,0,No,No,18,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),71.8,1327.97,Yes,1
7039-MLYEO,Male,0,No,Yes,36,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,103.33,3751.57,Yes,1
5879-MUGYI,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,213.78,No,0
5904-NWLHA,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),63.6,812.13,Yes,1
4272-VAXOD,Male,0,No,No,5,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),94.63,483.55,Yes,1
3719-OICRR,Male,0,No,No,42,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,86.31,3560.97,No,0
2069-HGRSS,Female,0,Yes,Yes,4,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,60.45,217.17,No,0
9447-TICPX,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),81.59,221.42,No,0
9775-FGADO,Female,0,No,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,90.17,513.99,Yes,1
5920-JIVLV,Female,0,Yes,No,8,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.74,622.92,Yes,1
9667-IFYQH,Male,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,110.09,3582.52,Yes,1
6596-NXGZY,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.02,141.61,No,0
2626-ENBHL,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,104.75,1772.58,No,0
9723-ZDXCT,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.04,268.93,No,0
8609-XFXDN,Female,0,Yes,No,3,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),66.41,170.79,No,0
5225-IAUIR,Male,0,No,No,37,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.83,3843.73,No,0
4691-JXCTT,Female,0,No,No,24,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.71,1274.57,Yes,1
4419-GAYYG,Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.71,1047.63,Yes,1
1287-DBVXD,Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,874.53,No,0
7719-EJPSW,Female,0,Yes,Yes,31,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),87.12,2710.88,No,0
1403-FHIZU,Female,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),81.43,1200.86,No,0
3883-ZMNLD,Male,1,Yes,Yes,51,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.32,4282.84,Yes,1
9408-AEFHD,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,74.97,249.89,No,0
1161-RZDHN,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.4,410.2,Yes,1
9346-STPKF,Male,0,No,No,5,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,91.97,541.85,No,0
8777-UASCT,Male,0,No,Yes,68,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,97.06,6639.99,No,0
8432-DLDOY,Female,1,No,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.79,1137.07,No,0
1727-KZHDM,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.16,909.92,No,0
5574-RIYNH,Male,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.33,987.37,Yes,1
9641-YMAPO,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.1,252.92,Yes,1
2333-QVCSD,Male,0,No,No,12,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,85.9,899.0,No,0
7738-KAZEP,Female,0,No,Yes,9,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,81.49,648.82,No,0
2633-YTULM,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,112.18,1250.96,Yes,1
6708-UWARC,Female,1,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,80.22,129.09,Yes,1
3591-VGUMG,Female,1,No,Yes,7,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.45,531.98,No,0
4007-NTPYW,Male,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,91.03,650.35,No,0
7779-PHKDJ,Female,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.41,305.03,Yes,1
9337-LCQZW,Male,0,No,Yes,59,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,82.18,4831.55,Yes,1
3466-LNGGG,Male,0,No,Yes,67,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,106.46,7030.87,Yes,1
9950-TVVYC,Male,1,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,96.43,838.33,No,0
8933-BMPJD,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),87.94,375.51,Yes,1
2730-VIIYD,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,92.72,574.25,No,0
9236-XPEEH,Male,0,Yes,No,12,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,66.74,768.0,Yes,1
6196-DLDOA,Male,0,No,No,43,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,69.1,2930.26,No,0
7380-BFEVB,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.31,219.28,No,0
4862-PNRUK,Female,0,No,Yes,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,101.31,6443.57,No,0
8453-IZNTW,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,82.28,353.06,Yes,1
8133-WNBME,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,94.89,2751.9,No,0
9001-GFGQO,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,82.35,89.68,Yes,1
9538-KHBAJ,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.76,51.07,No,0
9331-NXCCV,Male,0,No,Yes,10,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.76,774.86,No,0
1960-BKYRC,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.16,65.71,Yes,1
8533-VUXGZ,Male,0,No,Yes,66,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,61.9,4083.4,No,0
3885-UPUQQ,Female,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),76.51,4079.64,No,0
6545-UTDVN,Female,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,91.56,305.37,Yes,1
3907-NZWVM,Female,1,Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),67.55,3264.96,No,0
8056-KRQGG,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.11,145.07,No,0
1550-DLMEK,Female,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),81.8,5687.92,Yes,1
6436-GIJNJ,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,104.79,558.03,Yes,1
7631-ILJER,Female,0,No,No,2,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.64,301.8,Yes,1
3118-HUYRX,Male,0,No,No,6,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.63,556.25,Yes,1
8686-MUILN,Male,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.46,1199.09,Yes,1
9643-WMQFU,Male,0,No,No,60,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,104.76,6371.27,No,0
5976-NTQBH,Female,1,No,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,87.98,726.95,No,0
2590-TAFPS,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),87.83,85.74,Yes,1
5529-WXDYP,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,63.22,614.98,No,0
6725-CQSPC,Male,0,No,No,5,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,85.47,464.88,No,0
5708-YSDYY,Female,1,No,Yes,9,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,83.84,746.43,Yes,1
2524-UKPLU,Male,1,No,No,31,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,85.36,2625.64,No,0
9968-UYYCG,Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),84.77,3348.94,No,0
7495-PBCNQ,Female,0,No,No,41,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,65.51,2635.87,No,0
2509-EDOAO,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.36,373.54,No,0
5282-MRNST,Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,102.86,1005.65,Yes,1
9280-UNMGP,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,94.31,933.11,No,0
2252-YVDUD,Female,0,No,No,3,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,92.37,168.32,Yes,1
7490-CMRSK,Female,1,No,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),85.55,269.34,Yes,1
9293-UFRSI,Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,102.05,6609.45,No,0
7643-XVTQH,Male,0,Yes,No,45,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,72.95,3390.4,No,0
8156-JNIIE,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,83.38,497.67,Yes,1
9650-DCYOL,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),74.56,5259.09,No,0
7636-JDSEO,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,94.6,5783.14,No,0
9540-YJUPM,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,118.75,2029.18,No,0
2259-JQZAS,Male,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.55,741.35,Yes,1
8616-YLDHW,Female,0,Yes,Yes,12,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.86,1131.97,Yes,1
8900-QDDMP,Male,0,No,No,12,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.11,1050.25,No,0
1291-ROACL,Female,0,No,No,9,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,69.97,600.5,No,0
7502-VLHZL,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),88.02,4229.96,Yes,1
3838-LAHNX,Male,0,Yes,Yes,17,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),82.33,1351.06,Yes,1
7643-UOCKZ,Female,1,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.52,1023.45,No,0
1397-WRHUV,Male,1,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,75.4,5270.11,No,0
1388-CRZAR,Female,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.11,223.13,Yes,1
2228-QQCRX,Male,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.89,1386.53,No,0
8770-AGGLD,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.02,898.91,Yes,1
8688-UVFAX,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),108.44,2031.53,Yes,1
3599-RXAAA,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),95.61,1158.89,No,0
2406-BVPZU,Male,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.01,879.3,No,0
9667-GHWGB,Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,80.76,4103.83,Yes,1
7021-UZYDU,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,100.24,469.96,Yes,1
8614-SVVLB,Male,0,No,No,18,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),90.51,1619.95,No,0
5105-FCDSN,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,73.42,2985.97,No,0
5858-TOQCW,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),97.27,409.53,No,0
5038-EVTBF,Female,0,Yes,Yes,4,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,62.06,342.91,Yes,1
1141-HCSNZ,Male,0,Yes,Yes,26,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,67.5,1661.62,No,0
7744-PNBBQ,Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.74,1189.58,Yes,1
1039-BFWLS,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),74.35,149.74,Yes,1
4703-EJCUE,Female,0,No,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,94.65,4001.07,No,0
4387-ZPLOU,Male,1,No,No,47,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,95.68,4428.02,No,0
3290-QWOLD,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.69,135.14,Yes,1
3234-YOHKP,Male,1,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.31,5057.76,No,0
5837-SGQLY,Female,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),83.65,3001.67,No,0
2421-DMNRK,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.79,539.38,No,0
9222-MDDZD,Female,0,Yes,No,6,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),77.63,529.15,Yes,1
9529-HCHPL,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),92.07,686.58,No,0
8069-PKQZK,Female,0,No,Yes,12,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,70.23,919.12,Yes,1
2380-KVFYP,Male,1,No,No,51,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,79.41,4023.46,No,0
6413-IXAHK,Female,0,Yes,No,59,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,80.54,4790.96,Yes,1
5295-MDFCO,Male,0,Yes,No,30,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),94.02,2797.86,No,0
4157-OPSOQ,Male,0,Yes,Yes,63,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),71.11,4477.34,No,0
6283-QQIGU,Female,0,No,Yes,35,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,83.68,2784.2,Yes,1
4083-OFLNQ,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),73.41,2553.38,Yes,1
